date,Region,States,Max.Demand Met during the day(MW),Shortage during maximum Demand(MW),Energy Met (MU),temp_avg_karnataka,Month,Season,DayName,MonthName,Year,Quarter
2013-03-31,SR,Karnataka,7191.0,800.0,158.0,30.19211267605633,3,Summer,Sunday,March,2013,1
2013-04-01,SR,Karnataka,7652.0,800.0,159.4,29.428873239436623,4,Summer,Monday,April,2013,2
2013-04-02,SR,Karnataka,7620.0,1000.0,164.6,29.76985915492958,4,Summer,Tuesday,April,2013,2
2013-04-03,SR,Karnataka,7557.0,1450.0,163.7,30.284788732394365,4,Summer,Wednesday,April,2013,2
2013-04-04,SR,Karnataka,7540.0,1000.0,161.8,30.310985915492957,4,Summer,Thursday,April,2013,2
2013-04-05,SR,Karnataka,7504.0,1000.0,163.3,30.295774647887317,4,Summer,Friday,April,2013,2
2013-04-06,SR,Karnataka,7652.0,750.0,161.1,29.767605633802805,4,Summer,Saturday,April,2013,2
2013-04-07,SR,Karnataka,7498.0,600.0,161.2,30.355915492957738,4,Summer,Sunday,April,2013,2
2013-04-08,SR,Karnataka,7744.0,1000.0,169.6,30.70830985915493,4,Summer,Monday,April,2013,2
2013-04-09,SR,Karnataka,8003.0,600.0,172.1,30.801126760563374,4,Summer,Tuesday,April,2013,2
2013-04-10,SR,Karnataka,7956.0,900.0,169.7,30.328309859154924,4,Summer,Wednesday,April,2013,2
2013-04-11,SR,Karnataka,7471.0,600.0,162.4,30.297042253521116,4,Summer,Thursday,April,2013,2
2013-04-12,SR,Karnataka,8000.0,700.0,169.3,30.596478873239423,4,Summer,Friday,April,2013,2
2013-04-13,SR,Karnataka,8018.0,1000.0,172.2,30.480563380281694,4,Summer,Saturday,April,2013,2
2013-04-14,SR,Karnataka,7941.0,700.0,167.2,30.5481690140845,4,Summer,Sunday,April,2013,2
2013-04-15,SR,Karnataka,7692.0,1600.0,170.8,30.433098591549303,4,Summer,Monday,April,2013,2
2013-04-16,SR,Karnataka,8016.0,900.0,169.6,30.211971830985906,4,Summer,Tuesday,April,2013,2
2013-04-17,SR,Karnataka,7958.0,600.0,170.7,30.01140845070423,4,Summer,Wednesday,April,2013,2
2013-04-18,SR,Karnataka,8103.0,850.0,171.2,29.426338028169013,4,Summer,Thursday,April,2013,2
2013-04-19,SR,Karnataka,7764.0,900.0,166.7,29.447183098591555,4,Summer,Friday,April,2013,2
2013-04-20,SR,Karnataka,7842.0,600.0,169.5,29.118169014084504,4,Summer,Saturday,April,2013,2
