Region,States,Max.Demand Met during the day(MW),Shortage during maximum Demand(MW),Energy Met (MU),date,DayName,MonthName,Year,Quarter,Month,Season,temp_avg_karnataka
SR,Karnataka,7191,800.0,158.0,2013-03-31,Sunday,March,2013,1,3,Spring,30.168055555555547
SR,Karnataka,7652,800.0,159.4,2013-04-01,Monday,April,2013,2,4,Spring,29.406111111111116
SR,Karnataka,7620,1000.0,164.6,2013-04-02,Tuesday,April,2013,2,4,Spring,29.747638888888893
SR,Karnataka,7557,1450.0,163.7,2013-04-03,Wednesday,April,2013,2,4,Spring,30.265416666666667
SR,Karnataka,7540,1000.0,161.8,2013-04-04,Thursday,April,2013,2,4,Spring,30.285833333333326
SR,Karnataka,7504,1000.0,163.3,2013-04-05,Friday,April,2013,2,4,Spring,30.265416666666663
SR,Karnataka,7652,750.0,161.1,2013-04-06,Saturday,April,2013,2,4,Spring,29.7448611111111
SR,Karnataka,7498,600.0,161.2,2013-04-07,Sunday,April,2013,2,4,Spring,30.323888888888877
SR,Karnataka,7744,1000.0,169.6,2013-04-08,Monday,April,2013,2,4,Spring,30.687916666666663
SR,Karnataka,8003,600.0,172.1,2013-04-09,Tuesday,April,2013,2,4,Spring,30.772083333333327
SR,Karnataka,7956,900.0,169.7,2013-04-10,Wednesday,April,2013,2,4,Spring,30.30444444444444
SR,Karnataka,7471,600.0,162.4,2013-04-11,Thursday,April,2013,2,4,Spring,30.27958333333332
SR,Karnataka,8000,700.0,169.3,2013-04-12,Friday,April,2013,2,4,Spring,30.58041666666666
SR,Karnataka,8018,1000.0,172.2,2013-04-13,Saturday,April,2013,2,4,Spring,30.464861111111116
SR,Karnataka,7941,700.0,167.2,2013-04-14,Sunday,April,2013,2,4,Spring,30.529305555555553
SR,Karnataka,7692,1600.0,170.8,2013-04-15,Monday,April,2013,2,4,Spring,30.405138888888896
SR,Karnataka,8016,900.0,169.6,2013-04-16,Tuesday,April,2013,2,4,Spring,30.173472222222212
SR,Karnataka,7958,600.0,170.7,2013-04-17,Wednesday,April,2013,2,4,Spring,29.967361111111114
SR,Karnataka,8103,850.0,171.2,2013-04-18,Thursday,April,2013,2,4,Spring,29.380138888888887
SR,Karnataka,7764,900.0,166.7,2013-04-19,Friday,April,2013,2,4,Spring,29.405833333333337
SR,Karnataka,7842,600.0,169.5,2013-04-20,Saturday,April,2013,2,4,Spring,29.085972222222217
SR,Karnataka,7744,800.0,161.7,2013-04-21,Sunday,April,2013,2,4,Spring,29.069444444444432
SR,Karnataka,7426,600.0,167.4,2013-04-22,Monday,April,2013,2,4,Spring,29.58888888888889
SR,Karnataka,7725,600.0,169.4,2013-04-23,Tuesday,April,2013,2,4,Spring,30.35097222222223
SR,Karnataka,7557,1000.0,164.2,2013-04-24,Wednesday,April,2013,2,4,Spring,29.677499999999984
SR,Karnataka,7223,800.0,156.8,2013-04-25,Thursday,April,2013,2,4,Spring,29.21152777777777
SR,Karnataka,7217,750.0,149.4,2013-04-26,Friday,April,2013,2,4,Spring,28.967361111111117
SR,Karnataka,7179,750.0,156.3,2013-04-27,Saturday,April,2013,2,4,Spring,29.411388888888887
SR,Karnataka,6652,500.0,149.0,2013-04-28,Sunday,April,2013,2,4,Spring,29.350555555555545
SR,Karnataka,7242,600.0,153.8,2013-04-29,Monday,April,2013,2,4,Spring,28.637500000000003
SR,Karnataka,7498,600.0,158.6,2013-04-30,Tuesday,April,2013,2,4,Spring,30.476944444444445
SR,Karnataka,7170,500.0,153.7,2013-05-01,Wednesday,May,2013,2,5,Spring,30.379305555555554
SR,Karnataka,7484,600.0,160.2,2013-05-02,Thursday,May,2013,2,5,Spring,30.029861111111106
SR,Karnataka,7593,500.0,163.2,2013-05-03,Friday,May,2013,2,5,Spring,30.048611111111104
SR,Karnataka,7697,400.0,167.7,2013-05-04,Saturday,May,2013,2,5,Spring,29.973611111111104
SR,Karnataka,7454,350.0,164.2,2013-05-05,Sunday,May,2013,2,5,Spring,29.60152777777779
SR,Karnataka,7775,800.0,165.5,2013-05-06,Monday,May,2013,2,5,Spring,29.849861111111117
SR,Karnataka,7818,300.0,168.9,2013-05-07,Tuesday,May,2013,2,5,Spring,29.161666666666665
SR,Karnataka,7908,500.0,167.7,2013-05-08,Wednesday,May,2013,2,5,Spring,29.03847222222223
SR,Karnataka,7114,600.0,146.4,2013-05-09,Thursday,May,2013,2,5,Spring,29.03555555555556
SR,Karnataka,7178,600.0,149.5,2013-05-10,Friday,May,2013,2,5,Spring,28.704444444444448
SR,Karnataka,7260,450.0,147.1,2013-05-11,Saturday,May,2013,2,5,Spring,29.37791666666666
SR,Karnataka,6756,350.0,141.8,2013-05-12,Sunday,May,2013,2,5,Spring,28.222499999999997
SR,Karnataka,7543,450.0,156.8,2013-05-13,Monday,May,2013,2,5,Spring,27.72333333333334
SR,Karnataka,7523,500.0,159.4,2013-05-14,Tuesday,May,2013,2,5,Spring,28.81652777777778
SR,Karnataka,7496,500.0,162.4,2013-05-15,Wednesday,May,2013,2,5,Spring,28.96930555555555
SR,Karnataka,7684,600.0,162.3,2013-05-16,Thursday,May,2013,2,5,Spring,28.88861111111111
SR,Karnataka,7880,500.0,168.5,2013-05-17,Friday,May,2013,2,5,Spring,29.662916666666668
SR,Karnataka,7423,600.0,162.9,2013-05-18,Saturday,May,2013,2,5,Spring,29.403333333333325
SR,Karnataka,7068,500.0,146.3,2013-05-19,Sunday,May,2013,2,5,Spring,28.54041666666666
